Year,m,d,Time,Time zone,Cloud amount (1/8),Horizontal visibility (m)
2010,1,1,00:00,UTC,8,4810
2010,1,1,01:00,UTC,8,6250
2010,1,1,02:00,UTC,8,5360
2010,1,1,03:00,UTC,8,3890
2010,1,1,04:00,UTC,8,6180
2010,1,1,05:00,UTC,8,3700
2010,1,1,06:00,UTC,8,3010
2010,1,1,07:00,UTC,8,3450
2010,1,1,08:00,UTC,8,780
2010,1,1,09:00,UTC,8,4190
2010,1,1,10:00,UTC,7,7040
2010,1,1,11:00,UTC,7,8540
2010,1,1,12:00,UTC,0,8400
2010,1,1,13:00,UTC,0,7950
2010,1,1,14:00,UTC,0,17580
2010,1,1,15:00,UTC,0,14070
2010,1,1,16:00,UTC,0,13610
2010,1,1,17:00,UTC,0,38710
2010,1,1,18:00,UTC,7,14010
2010,1,1,19:00,UTC,8,18980
2010,1,1,20:00,UTC,8,12710
2010,1,1,21:00,UTC,8,13560
2010,1,1,22:00,UTC,7,5140
2010,1,1,23:00,UTC,7,45780
2010,1,2,00:00,UTC,1,47190
2010,1,2,01:00,UTC,4,45970
2010,1,2,02:00,UTC,7,50000
2010,1,2,03:00,UTC,1,45320
2010,1,2,04:00,UTC,4,43440
2010,1,2,05:00,UTC,3,50000
2010,1,2,06:00,UTC,0,50000
2010,1,2,07:00,UTC,0,50000
2010,1,2,08:00,UTC,0,32310
2010,1,2,09:00,UTC,0,37020
2010,1,2,10:00,UTC,2,23570
2010,1,2,11:00,UTC,0,47990
2010,1,2,12:00,UTC,4,46080
2010,1,2,13:00,UTC,7,40100
2010,1,2,14:00,UTC,7,44470
2010,1,2,15:00,UTC,5,41190
2010,1,2,16:00,UTC,7,35050
2010,1,2,17:00,UTC,8,4800
2010,1,2,18:00,UTC,8,5930
2010,1,2,19:00,UTC,8,19180
2010,1,2,20:00,UTC,8,11570
2010,1,2,21:00,UTC,8,7360
2010,1,2,22:00,UTC,8,4510
2010,1,2,23:00,UTC,8,2580
2010,1,3,00:00,UTC,8,4030
2010,1,3,01:00,UTC,8,5080
2010,1,3,02:00,UTC,8,5260
2010,1,3,03:00,UTC,8,3160
2010,1,3,04:00,UTC,8,2430
2010,1,3,05:00,UTC,8,3810
2010,1,3,06:00,UTC,8,4900
2010,1,3,07:00,UTC,8,3650
2010,1,3,08:00,UTC,8,3260
2010,1,3,09:00,UTC,8,3100
2010,1,3,10:00,UTC,8,1770
2010,1,3,11:00,UTC,8,1220
2010,1,3,12:00,UTC,8,2160
2010,1,3,13:00,UTC,8,2980
2010,1,3,14:00,UTC,8,7670
2010,1,3,15:00,UTC,8,4110
2010,1,3,16:00,UTC,7,4870
2010,1,3,17:00,UTC,8,10600
2010,1,3,18:00,UTC,8,12310
2010,1,3,19:00,UTC,7,6140
2010,1,3,20:00,UTC,8,4540
2010,1,3,21:00,UTC,8,4850
2010,1,3,22:00,UTC,8,7360
2010,1,3,23:00,UTC,7,10930
2010,1,4,00:00,UTC,8,12640
2010,1,4,01:00,UTC,3,10470
2010,1,4,02:00,UTC,0,32200
2010,1,4,03:00,UTC,0,20400
2010,1,4,04:00,UTC,0,26620
2010,1,4,05:00,UTC,0,14630
2010,1,4,06:00,UTC,0,28200
2010,1,4,07:00,UTC,0,47500
2010,1,4,08:00,UTC,0,48840
2010,1,4,09:00,UTC,0,41020
2010,1,4,10:00,UTC,0,21340
2010,1,4,11:00,UTC,0,13310
2010,1,4,12:00,UTC,0,33280
2010,1,4,13:00,UTC,0,41590
2010,1,4,14:00,UTC,1,35790
2010,1,4,15:00,UTC,1,41630
2010,1,4,16:00,UTC,0,30550
2010,1,4,17:00,UTC,0,35000
2010,1,4,18:00,UTC,0,38150
2010,1,4,19:00,UTC,1,31770
2010,1,4,20:00,UTC,0,40910
2010,1,4,21:00,UTC,0,30530
2010,1,4,22:00,UTC,0,40480
