Year,m,d,Time,Time zone,Cloud amount (1/8),Horizontal visibility (m)
2010,1,1,00:00,UTC,8,5972
2010,1,1,01:00,UTC,8,5301
2010,1,1,02:00,UTC,8,7427
2010,1,1,03:00,UTC,8,5379
2010,1,1,04:00,UTC,8,11068
2010,1,1,05:00,UTC,7,9912
2010,1,1,06:00,UTC,8,6860
2010,1,1,07:00,UTC,7,17692
2010,1,1,08:00,UTC,8,19896
2010,1,1,09:00,UTC,8,11282
2010,1,1,10:00,UTC,8,6110
2010,1,1,11:00,UTC,7,8231
2010,1,1,12:00,UTC,8,19362
2010,1,1,13:00,UTC,8,7872
2010,1,1,14:00,UTC,8,15322
2010,1,1,15:00,UTC,8,21607
2010,1,1,16:00,UTC,8,17047
2010,1,1,17:00,UTC,8,7129
2010,1,1,18:00,UTC,8,5843
2010,1,1,19:00,UTC,8,11905
2010,1,1,20:00,UTC,8,10385
2010,1,1,21:00,UTC,8,11234
2010,1,1,22:00,UTC,8,9469
2010,1,1,23:00,UTC,8,7743
2010,1,2,00:00,UTC,8,4231
2010,1,2,01:00,UTC,8,5808
2010,1,2,02:00,UTC,5,39867
2010,1,2,03:00,UTC,7,19585
2010,1,2,04:00,UTC,3,47430
2010,1,2,05:00,UTC,1,44579
2010,1,2,06:00,UTC,0,48784
2010,1,2,07:00,UTC,0,49871
2010,1,2,08:00,UTC,1,48197
2010,1,2,09:00,UTC,5,46297
2010,1,2,10:00,UTC,6,48723
2010,1,2,11:00,UTC,0,34830
2010,1,2,12:00,UTC,0,20156
2010,1,2,13:00,UTC,0,13485
2010,1,2,14:00,UTC,0,38658
2010,1,2,15:00,UTC,0,45684
2010,1,2,16:00,UTC,6,27735
2010,1,2,17:00,UTC,7,6763
2010,1,2,18:00,UTC,7,975
2010,1,2,19:00,UTC,7,20573
2010,1,2,20:00,UTC,8,4450
2010,1,2,21:00,UTC,8,3854
2010,1,2,22:00,UTC,8,4358
2010,1,2,23:00,UTC,8,12695
2010,1,3,00:00,UTC,8,6219
2010,1,3,01:00,UTC,8,7191
2010,1,3,02:00,UTC,8,15879
2010,1,3,03:00,UTC,8,3973
2010,1,3,04:00,UTC,8,5220
2010,1,3,05:00,UTC,8,5867
