Year,m,d,Time,Time zone,Cloud amount (1/8),Horizontal visibility (m)
2011,1,1,00:00,UTC,8,5427
2011,1,1,01:00,UTC,8,5147
2011,1,1,02:00,UTC,8,7636
2011,1,1,03:00,UTC,8,5042
2011,1,1,04:00,UTC,8,3763
2011,1,1,05:00,UTC,8,4148
2011,1,1,06:00,UTC,8,4682
2011,1,1,07:00,UTC,8,3323
2011,1,1,08:00,UTC,8,5798
2011,1,1,09:00,UTC,8,2825
2011,1,1,10:00,UTC,8,9160
2011,1,1,11:00,UTC,8,9741
2011,1,1,12:00,UTC,8,8332
2011,1,1,13:00,UTC,8,11130
2011,1,1,14:00,UTC,8,10609
2011,1,1,15:00,UTC,8,10887
2011,1,1,16:00,UTC,8,10317
2011,1,1,17:00,UTC,8,9617
2011,1,1,18:00,UTC,8,8961
2011,1,1,19:00,UTC,8,7292
2011,1,1,20:00,UTC,8,7495
2011,1,1,21:00,UTC,8,7115
2011,1,1,22:00,UTC,8,2954
2011,1,1,23:00,UTC,8,5061
2011,1,2,00:00,UTC,7,9983
2011,1,2,01:00,UTC,8,10043
2011,1,2,02:00,UTC,8,10703
2011,1,2,03:00,UTC,8,10329
2011,1,2,04:00,UTC,8,10265
2011,1,2,05:00,UTC,8,8172
2011,1,2,06:00,UTC,8,7844
2011,1,2,07:00,UTC,8,9585
2011,1,2,08:00,UTC,8,5179
2011,1,2,09:00,UTC,8,1877
2011,1,2,10:00,UTC,8,926
2011,1,2,11:00,UTC,7,6216
2011,1,2,12:00,UTC,7,3146
2011,1,2,13:00,UTC,8,7291
2011,1,2,14:00,UTC,7,6736
2011,1,2,15:00,UTC,8,1659
2011,1,2,16:00,UTC,8,8930
2011,1,2,17:00,UTC,8,6349
2011,1,2,18:00,UTC,8,2973
2011,1,2,19:00,UTC,7,10349
2011,1,2,20:00,UTC,8,3703
2011,1,2,21:00,UTC,8,4110
2011,1,2,22:00,UTC,7,8193
2011,1,2,23:00,UTC,8,2182
2011,1,3,00:00,UTC,8,3091
2011,1,3,01:00,UTC,8,1735
2011,1,3,02:00,UTC,8,3654
2011,1,3,03:00,UTC,8,3935
2011,1,3,04:00,UTC,8,1479
2011,1,3,05:00,UTC,8,4030
2011,1,3,06:00,UTC,7,7880
2011,1,3,07:00,UTC,8,6723
2011,1,3,08:00,UTC,7,4494
2011,1,3,09:00,UTC,7,10464
2011,1,3,10:00,UTC,8,1159
2011,1,3,11:00,UTC,8,2684
2011,1,3,12:00,UTC,7,1744
2011,1,3,13:00,UTC,7,5707
2011,1,3,14:00,UTC,6,7551
2011,1,3,15:00,UTC,7,10766
2011,1,3,16:00,UTC,9,1881
2011,1,3,17:00,UTC,9,4063
2011,1,3,18:00,UTC,2,12236
2011,1,3,19:00,UTC,0,42154
2011,1,3,20:00,UTC,5,14994
2011,1,3,21:00,UTC,8,1667
2011,1,3,22:00,UTC,4,8156
2011,1,3,23:00,UTC,9,346
2011,1,4,00:00,UTC,8,1867
2011,1,4,01:00,UTC,8,2773
2011,1,4,02:00,UTC,8,7585
