Year,m,d,Time,Time zone,Cloud amount (1/8),Horizontal visibility (m)
2010,1,1,00:00,UTC,7,3230
2010,1,1,01:00,UTC,7,8370
2010,1,1,02:00,UTC,7,5050
2010,1,1,03:00,UTC,7,2810
2010,1,1,04:00,UTC,7,3590
2010,1,1,05:00,UTC,7,4110
2010,1,1,06:00,UTC,8,5530
2010,1,1,07:00,UTC,8,5660
2010,1,1,08:00,UTC,8,7730
2010,1,1,09:00,UTC,8,4470
2010,1,1,10:00,UTC,7,7740
2010,1,1,11:00,UTC,8,4920
2010,1,1,12:00,UTC,8,6240
2010,1,1,13:00,UTC,7,11570
2010,1,1,14:00,UTC,0,18560
2010,1,1,15:00,UTC,7,24310
2010,1,1,16:00,UTC,7,21240
2010,1,1,17:00,UTC,8,27290
2010,1,1,18:00,UTC,8,14040
2010,1,1,19:00,UTC,8,9390
2010,1,1,20:00,UTC,8,14500
2010,1,1,21:00,UTC,8,33180
2010,1,1,22:00,UTC,8,34220
2010,1,1,23:00,UTC,8,50000
2010,1,2,00:00,UTC,7,50000
2010,1,2,01:00,UTC,3,50000
2010,1,2,02:00,UTC,5,50000
2010,1,2,03:00,UTC,7,44540
2010,1,2,04:00,UTC,8,36210
2010,1,2,05:00,UTC,5,50000
2010,1,2,06:00,UTC,7,50000
2010,1,2,07:00,UTC,5,40100
2010,1,2,08:00,UTC,5,35090
2010,1,2,09:00,UTC,3,36780
2010,1,2,10:00,UTC,1,28320
2010,1,2,11:00,UTC,0,4930
2010,1,2,12:00,UTC,3,3820
2010,1,2,13:00,UTC,0,6820
2010,1,2,14:00,UTC,0,6660
2010,1,2,15:00,UTC,0,5210
2010,1,2,16:00,UTC,5,15440
2010,1,2,17:00,UTC,7,8700
2010,1,2,18:00,UTC,7,11690
2010,1,2,19:00,UTC,8,5940
2010,1,2,20:00,UTC,8,5990
2010,1,2,21:00,UTC,8,4090
2010,1,2,22:00,UTC,8,7150
2010,1,2,23:00,UTC,8,6990
2010,1,3,00:00,UTC,8,8920
2010,1,3,01:00,UTC,8,2390
2010,1,3,02:00,UTC,8,9920
2010,1,3,03:00,UTC,8,2640
2010,1,3,04:00,UTC,8,3490
2010,1,3,05:00,UTC,8,2390
2010,1,3,06:00,UTC,8,1890
2010,1,3,07:00,UTC,8,1610
2010,1,3,08:00,UTC,8,3050
2010,1,3,09:00,UTC,9,540
2010,1,3,10:00,UTC,9,650
2010,1,3,11:00,UTC,9,1570
2010,1,3,12:00,UTC,9,1230
2010,1,3,13:00,UTC,9,1590
2010,1,3,14:00,UTC,9,1710
2010,1,3,15:00,UTC,9,1990
2010,1,3,16:00,UTC,8,2480
2010,1,3,17:00,UTC,9,1630
2010,1,3,18:00,UTC,9,1360
2010,1,3,19:00,UTC,8,2610
2010,1,3,20:00,UTC,8,6180
2010,1,3,21:00,UTC,8,2950
2010,1,3,22:00,UTC,8,3290
2010,1,3,23:00,UTC,8,2450
2010,1,4,00:00,UTC,9,1930
2010,1,4,01:00,UTC,8,5390
2010,1,4,02:00,UTC,7,3940
2010,1,4,03:00,UTC,8,8200
2010,1,4,04:00,UTC,8,6770
2010,1,4,05:00,UTC,8,2510
2010,1,4,06:00,UTC,8,3210
2010,1,4,07:00,UTC,8,3950
2010,1,4,08:00,UTC,7,6080
2010,1,4,09:00,UTC,7,4220
2010,1,4,10:00,UTC,7,7240
2010,1,4,11:00,UTC,7,7470
2010,1,4,12:00,UTC,8,6440
2010,1,4,13:00,UTC,8,6560
2010,1,4,14:00,UTC,7,13120
2010,1,4,15:00,UTC,7,14540
2010,1,4,16:00,UTC,7,23310
2010,1,4,17:00,UTC,7,50000
2010,1,4,18:00,UTC,7,50000
2010,1,4,19:00,UTC,8,50000
2010,1,4,20:00,UTC,7,41430
2010,1,4,21:00,UTC,0,50000
2010,1,4,22:00,UTC,3,50000
2010,1,4,23:00,UTC,3,32570
2010,1,5,00:00,UTC,0,50000
2010,1,5,01:00,UTC,7,50000
2010,1,5,02:00,UTC,1,50000
2010,1,5,03:00,UTC,0,43340
2010,1,5,04:00,UTC,7,34740
2010,1,5,05:00,UTC,1,8630
2010,1,5,06:00,UTC,3,50000
2010,1,5,07:00,UTC,1,39280
2010,1,5,08:00,UTC,7,47390
2010,1,5,09:00,UTC,7,18310
2010,1,5,10:00,UTC,1,20980
2010,1,5,11:00,UTC,0,22220
2010,1,5,12:00,UTC,0,22320
2010,1,5,13:00,UTC,0,20480
2010,1,5,14:00,UTC,0,29400
2010,1,5,15:00,UTC,0,21870
2010,1,5,16:00,UTC,0,18130
2010,1,5,17:00,UTC,3,50000
2010,1,5,18:00,UTC,1,33900
2010,1,5,19:00,UTC,0,41900
2010,1,5,20:00,UTC,0,50000
2010,1,5,21:00,UTC,7,50000
2010,1,5,22:00,UTC,7,3390
2010,1,5,23:00,UTC,7,5770
2010,1,6,00:00,UTC,7,7810
2010,1,6,01:00,UTC,7,3150
2010,1,6,02:00,UTC,7,3200
2010,1,6,03:00,UTC,7,4870
2010,1,6,04:00,UTC,7,2720
2010,1,6,05:00,UTC,7,4660
2010,1,6,06:00,UTC,7,4800
2010,1,6,07:00,UTC,8,6670
2010,1,6,08:00,UTC,7,9870
2010,1,6,09:00,UTC,1,13490
2010,1,6,10:00,UTC,7,26450
2010,1,6,11:00,UTC,8,7030
2010,1,6,12:00,UTC,8,4640
2010,1,6,13:00,UTC,8,7720
2010,1,6,14:00,UTC,7,15800
2010,1,6,15:00,UTC,7,18530
2010,1,6,16:00,UTC,8,6390
2010,1,6,17:00,UTC,8,6200
2010,1,6,18:00,UTC,7,6830
2010,1,6,19:00,UTC,8,14910
2010,1,6,20:00,UTC,7,6690
2010,1,6,21:00,UTC,1,9980
2010,1,6,22:00,UTC,0,22120
2010,1,6,23:00,UTC,5,3300
2010,1,7,00:00,UTC,7,32890
2010,1,7,01:00,UTC,7,6410
2010,1,7,02:00,UTC,7,23510
2010,1,7,03:00,UTC,1,50000
2010,1,7,04:00,UTC,0,32360
2010,1,7,05:00,UTC,0,6400
2010,1,7,06:00,UTC,0,13680
2010,1,7,07:00,UTC,7,9180
2010,1,7,08:00,UTC,5,5250
2010,1,7,09:00,UTC,5,4230
2010,1,7,10:00,UTC,7,2390
2010,1,7,11:00,UTC,1,7520
2010,1,7,12:00,UTC,5,5510
2010,1,7,13:00,UTC,0,9020
2010,1,7,14:00,UTC,3,7630
2010,1,7,15:00,UTC,1,9220
2010,1,7,16:00,UTC,1,13810
2010,1,7,17:00,UTC,0,9020
2010,1,7,18:00,UTC,0,10910
2010,1,7,19:00,UTC,1,8240
2010,1,7,20:00,UTC,8,3570
2010,1,7,21:00,UTC,8,7750
2010,1,7,22:00,UTC,8,8470
2010,1,7,23:00,UTC,8,10310
2010,1,8,00:00,UTC,8,19400
2010,1,8,01:00,UTC,7,14540
2010,1,8,02:00,UTC,8,10340
2010,1,8,03:00,UTC,3,12880
2010,1,8,04:00,UTC,8,11250
2010,1,8,05:00,UTC,5,16900
